OBJECTID,BoroCode,BoroCT,BldgArea,ResArea,Res_pct,TotalPop,LowMod_Population,LoMod_pct,Eligibility,CT_text
29,1,1002900,"1,09,17,780","15,78,112",0.144545136,"4,680","3,350",0.715811966,Ineligible,1002900
30,1,1003001,"32,47,778","19,01,482",0.585471667,"4,205","2,280",0.542211653,CD Eligible,1003001
31,1,1003002,"16,16,867","13,62,654",0.842774328,"2,815","1,535",0.545293073,CD Eligible,1003002
32,1,1003100,"95,13,684","15,12,362",0.158967021,"1,505",535,0.355481728,Ineligible,1003100
33,1,1003200,"41,49,850","35,83,771",0.863590491,"7,715","3,345",0.433570966,Ineligible,1003200
34,1,1003300,"1,39,24,425","62,02,387",0.445432181,"5,005",720,0.143856144,Ineligible,1003300
35,1,1003400,"38,99,602","30,40,511",0.779697774,"6,470","3,520",0.544049459,CD Eligible,1003400
36,1,1003601,"22,59,107.30","14,49,417",0.641588383,"3,155","2,245",0.711568938,CD Eligible,1003601
37,1,1003602,"21,16,895","12,74,763",0.602185276,"2,460","1,200",0.487804878,Ineligible,1003602
38,1,1003700,"1,46,74,197.44","25,74,704",0.175457909,"2,575",460,0.178640777,Ineligible,1003700
39,1,1003800,"54,61,902","37,36,043",0.684018681,"8,175","4,330",0.529663609,CD Eligible,1003800
40,1,1003900,"1,15,67,340","63,27,135",0.546982712,"5,210","1,330",0.255278311,Ineligible,1003900
41,1,1004000,"48,24,999","32,78,634",0.679509778,"7,240","3,015",0.416436464,Ineligible,1004000
42,1,1004100,"54,07,020","27,43,789",0.50744939,"7,505","4,005",0.533644237,CD Eligible,1004100
43,1,1004200,"34,63,470","15,61,374",0.450812047,"2,925",770,0.263247863,Ineligible,1004200
44,1,1004300,"52,09,601","22,84,751",0.438565449,"4,275","2,160",0.505263158,Ineligible,1004300
45,1,1004400,"89,45,513.41","83,67,967.34",0.935437348,"16,200","6,205",0.383024691,Ineligible,1004400
46,1,1004500,"36,91,935","10,38,679",0.281337293,980,205,0.209183673,Ineligible,1004500
47,1,1004700,"52,63,607","27,93,754",0.53076797,"2,360",750,0.31779661,Ineligible,1004700
48,1,1004800,"53,17,113","32,77,533",0.616412139,"6,075","1,925",0.316872428,Ineligible,1004800
49,1,1004900,"76,84,915","42,55,150",0.553701635,"4,350","1,405",0.322988506,Ineligible,1004900
50,1,1005000,"72,63,087","33,20,938",0.457235057,"4,940","1,375",0.278340081,Ineligible,1005000
51,1,1005200,"79,72,297","24,22,068",0.303810558,"2,965",605,0.204047218,Ineligible,1005200
52,1,1005400,"98,37,289","34,41,510",0.349843336,"4,375",960,0.219428571,Ineligible,1005400
53,1,1005501,"47,75,579","8,65,189",0.181169446,"4,170",605,0.145083933,Ineligible,1005501
54,1,1005502,"38,63,784","18,88,764",0.488837885,"2,095",500,0.238663484,Ineligible,1005502
55,1,1005600,"1,14,94,289","26,47,217",0.230307155,"2,825",750,0.265486726,Ineligible,1005600
56,1,1005700,"61,54,228","25,26,703",0.410563762,"2,900",645,0.222413793,Ineligible,1005700
57,1,1005800,"1,10,44,199","32,39,700",0.293339517,"3,205",700,0.218408736,Ineligible,1005800
638,3,3001800,"2,35,95,791.85","6,708.99",0.00028433,0,0,,Ineligible,3001800
